MultiPolygon (((744087.5 1051281.32, 744087.51 1051287.19, 744086.21 1051287.19, 744086.32 1051293.49, 744087.52 1051293.49, 744087.53 1051299.52, 744100.49 1051299.47, 744101.69 1051299.47, 744101.68 1051293.44, 744102.88 1051293.44, 744102.88 1051287.14, 744101.68 1051287.14, 744101.67 1051281.27, 744087.5 1051281.32))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744100.49 1051299.47, 744087.53 1051299.52, 744086.33 1051299.52, 744086.34 1051305.42, 744085.14 1051305.42, 744085.15 1051311.77, 744086.35 1051311.76, 744086.36 1051317.61, 744100.51 1051317.54, 744100.5 1051311.7, 744101.7 1051311.7, 744101.7 1051305.36, 744100.5 1051305.37, 744100.49 1051299.47))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744086.36 1051317.61, 744086.37 1051323.45, 744085.17 1051323.45, 744085.18 1051329.72, 744086.38 1051329.72, 744086.39 1051335.72, 744100.53 1051335.65, 744100.52 1051329.65, 744101.72 1051329.65, 744101.72 1051323.38, 744100.52 1051323.38, 744100.51 1051317.54, 744086.36 1051317.61))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744027.38 1051226.71, 744027.37 1051233.32, 744026.1 1051233.32, 744026.1 1051239.11, 744027.37 1051239.12, 744027.36 1051244.82, 744041.56 1051244.83, 744041.58 1051226.72, 744027.38 1051226.71))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744027.36 1051244.82, 744027.35 1051251.31, 744025.99 1051251.31, 744025.99 1051257.34, 744027.35 1051257.35, 744027.34 1051262.93, 744041.54 1051262.94, 744041.56 1051244.83, 744027.36 1051244.82))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744027.33 1051281.04, 744027.32 1051287.78, 744026.01 1051287.78, 744026.01 1051293.77, 744027.32 1051293.77, 744027.31 1051299.15, 744041.51 1051299.16, 744041.53 1051281.05, 744027.33 1051281.04))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744027.34 1051262.93, 744027.34 1051269.67, 744026.04 1051269.67, 744026.04 1051275.41, 744027.33 1051275.41, 744027.33 1051281.04, 744041.53 1051281.05, 744041.54 1051262.94, 744027.34 1051262.93))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((744027.31 1051299.15, 744027.3 1051305.66, 744025.93 1051305.66, 744025.93 1051311.21, 744027.3 1051311.21, 744027.29 1051317.26, 744041.49 1051317.27, 744041.51 1051299.16, 744027.31 1051299.15))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743965.69 1051264.97, 743965.69 1051277.31, 743964.26 1051277.29, 743964.26 1051279.27, 743942.8 1051279.29, 743942.8 1051280.1, 743941.43 1051280.1, 743941.43 1051298.98, 743941 1051298.98, 743941 1051302.48, 743941.46 1051302.48, 743941.39 1051316.42, 743942.82 1051316.42, 743942.82 1051316.54, 743956.18 1051316.57, 743956.18 1051316.11, 743980.53 1051316.1, 743980.82 1051319.03, 743988.21 1051319.03, 743988.21 1051317.5, 743994.65 1051317.49, 743994.65 1051289.88, 743991.52 1051289.88, 743985.42 1051289.81, 743984.99 1051289.88, 743985.02 1051292.38, 743982.38 1051292.37, 743982.38 1051289.4, 743982.36 1051280.35, 743983.56 1051280.34, 743983.58 1051268, 743978.2 1051268, 743978.18 1051264.99, 743965.69 1051264.97))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MultiPolygon (((743939.28 1051180.62, 743939.28 1051181.23, 743937.48 1051181.23, 743937.49 1051183.04, 743939.29 1051183.04, 743939.32 1051200.18, 743936.92 1051200.19, 743936.93 1051204.15, 743939.33 1051204.14, 743939.36 1051217.72, 743945.62 1051217.71, 743992.18 1051217.64, 743994.46 1051217.64, 743994.46 1051216.2, 743994.38 1051181.61, 743994.38 1051180.54, 743939.28 1051180.62))),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
