WKT,
"MULTIPOLYGON (((744757.29 1040874.81,744757.272 1040874.83,744752.4 1040880.25,744750.98 1040878.97,744749.65 1040877.83,744748.22 1040876.46,744752.32 1040870.28,744748.201 1040867.002,744746.539 1040865.804,744744.23 1040864.14,744743.703 1040863.803,744741.751 1040862.557,744739.94 1040861.4,744739.406 1040861.097,744736.473 1040859.431,744735.52 1040858.89,744734.754 1040858.494,744733.307 1040857.745,744733.2 1040857.69,744732.333 1040857.345,744731.701 1040857.092,744730.14 1040856.684,744729.919 1040856.654,744729.43 1040856.589,744728.54 1040856.47,744728.044 1040856.463,744727.488 1040856.455,744726.927 1040856.447,744726.052 1040856.541,744725.626 1040856.586,744725.322 1040856.618,744723.75 1040856.98,744722.199 1040857.527,744720.725 1040858.257,744719.35 1040859.16,744717.24 1040860.63,744715.18 1040862.14,744712.19 1040864.5,744711.42 1040865.162,744709.678 1040866.659,744708.34 1040867.81,744707.243 1040868.868,744705.418 1040870.627,744704.71 1040871.31,744703.347 1040872.76,744701.736 1040874.474,744701.27 1040874.97,744699.178 1040877.445,744698.154 1040878.655,744697.26 1040879.8,744694.72 1040883.16,744699.83 1040887.69,744697.24 1040890.62,744695.8 1040892.22,744690.865 1040889.096,744690.84 1040889.08,744690.407 1040889.857,744687.887 1040894.381,744687.644 1040894.833,744686.335 1040898.049,744686.27 1040898.21,744686.138 1040898.854,744685.993 1040899.563,744685.945 1040899.794,744685.827 1040901.389,744685.91 1040903.02,744685.933 1040903.157,744686.091 1040904.074,744686.217 1040904.804,744686.311 1040905.103,744686.313 1040905.112,744686.539 1040905.827,744686.76 1040906.53,744686.945 1040906.903,744687.449 1040907.923,744687.691 1040908.411,744688.069 1040909.03,744688.784 1040910.202,744690.03 1040911.89,744691.404 1040913.73,744691.591 1040913.981,744692.3 1040914.93,744693.09 1040915.93,744694.835 1040918.029,744695.414 1040918.724,744696.35 1040919.85,744698.489 1040922.131,744699.524 1040923.235,744699.81 1040923.54,744703.43 1040927.03,744703.442 1040927.041,744703.931 1040927.464,744707.22 1040930.32,744707.586 1040930.599,744712.77 1040934.56,744717.38 1040929.4,744721.71 1040933.3,744718.505 1040938.276,744718.49 1040938.3,744720.77 1040939.64,744722.99 1040940.86,744724.462 1040941.618,744725.053 1040941.923,744725.32 1040942.06,744726.814 1040942.648,744726.827 1040942.653,744728.395 1040943.062,744728.597 1040943.09,744729.223 1040943.174,744730.0 1040943.28,744730.437 1040943.288,744731.128 1040943.3,744731.603 1040943.308,744732.327 1040943.232,744733.009 1040943.16,744733.198 1040943.141,744734.08 1040942.937,744734.76 1040942.78,744737.01 1040941.89,744740.24 1040939.85,744741.097 1040939.231,744743.052 1040937.818,744743.34 1040937.61,744746.33 1040935.25,744746.512 1040935.092,744748.317 1040933.527,744750.61 1040931.54,744754.32 1040927.9,744748.88 1040923.02,744750.15 1040921.6,744751.37 1040920.25,744752.69 1040918.83,744758.826 1040922.914,744758.85 1040922.93,744759.994 1040921.524,744760.853 1040920.468,744761.25 1040919.98,744764.98 1040914.85,744768.38 1040909.49,744770.24 1040906.16,744771.45 1040903.83,744772.24 1040901.65,744772.65 1040899.26,744772.68 1040898.408,744772.682 1040898.36,744772.693 1040898.055,744772.63 1040896.85,744772.62 1040896.66,744772.45 1040895.65,744772.179 1040894.475,744771.8 1040893.33,744771.523 1040892.71,744771.356 1040892.339,744771.286 1040892.182,744770.68 1040891.08,744770.58 1040890.929,744769.853 1040889.837,744769.23 1040888.9,744768.29 1040887.573,744767.61 1040886.626,744766.25 1040884.81,744765.156 1040883.439,744765.004 1040883.248,744764.67 1040882.83,744763.03 1040880.9,744762.07 1040879.82,744760.92 1040878.55,744759.6 1040877.13,744759.038 1040876.563,744758.81 1040876.334,744757.29 1040874.81)))"
"MULTIPOLYGON (((744839.05 1040563.53,744826.07 1040564.77,744826.22 1040566.31,744827.74 1040582.48,744829.18 1040597.68,744829.55 1040598.02,744829.71 1040598.17,744832.86 1040601.08,744833.71 1040600.16,744837.23 1040596.35,744859.46 1040572.28,744856.72 1040568.34,744854.5 1040563.6,744854.338 1040562.75,744853.68 1040559.29,744838.8 1040560.65,744839.05 1040563.53)))"
"MULTIPOLYGON (((744628.57 1040621.42,744630.13 1040636.41,744632.29 1040636.16,744634.42 1040635.95,744632.84 1040620.99,744630.71 1040621.2,744628.57 1040621.42)))"
"MULTIPOLYGON (((745295.62 1040749.0,745282.82 1040755.08,745284.98 1040759.33,745286.15 1040759.74,745289.15 1040765.59,745297.73 1040761.1,745301.01 1040759.39,745295.62 1040749.0)))"
"MULTIPOLYGON (((744826.07 1041012.7,744821.88 1041008.93,744826.35 1041003.93,744828.25 1041001.8,744824.62 1040998.44,744820.08 1040994.42,744818.19 1040996.52,744815.06 1041000.0,744809.72 1041005.98,744802.85 1041000.0,744795.27 1040993.35,744794.14 1040992.38,744793.92 1040992.19,744791.704 1040990.235,744791.7 1040990.24,744784.46 1040998.56,744786.6 1041000.35,744787.33 1041000.96,744786.74 1041001.62,744799.37 1041013.01,744818.84 1041030.48,744819.61 1041031.16,744821.26 1041032.65,744822.0 1041033.31,744837.78 1041047.46,744838.52 1041048.12,744841.25 1041050.57,744846.69 1041055.23,744847.36 1041054.67,744851.61 1041058.46,744850.59 1041059.6,744850.46 1041059.74,744850.66 1041059.92,744856.84 1041065.54,744857.51 1041066.18,744859.53 1041067.93,744860.21 1041068.55,744875.27 1041081.95,744876.51 1041080.68,744877.48 1041081.42,744878.55 1041082.12,744879.97 1041082.82,744881.2 1041083.29,744882.33 1041083.62,744884.08 1041083.84,744885.68 1041083.9,744887.49 1041083.73,744889.26 1041083.38,744891.39 1041082.6,744891.79 1041083.37,744892.21 1041084.17,744892.61 1041083.98,744892.89 1041083.84,744897.35 1041081.7,744897.2 1041081.29,744905.95 1041077.2,744915.9 1041072.44,744924.24 1041068.45,744924.44 1041068.82,744929.77 1041066.31,744928.97 1041064.6,744937.97 1041060.28,744933.61 1041050.98,744934.99 1041050.34,744933.16 1041046.62,744933.84 1041046.24,744921.98 1041021.39,744921.24 1041021.59,744919.42 1041017.89,744918.15 1041018.5,744916.72 1041016.04,744915.11 1041013.91,744906.04 1041020.96,744907.64 1041022.89,744910.3 1041028.55,744911.48 1041031.06,744919.79 1041048.6,744921.63 1041052.66,744922.83 1041055.01,744919.26 1041056.65,744918.06 1041053.85,744916.38 1041054.66,744912.13 1041056.63,744910.9 1041057.2,744910.92 1041057.35,744908.78 1041058.35,744906.59 1041053.58,744905.41 1041053.15,744903.6 1041052.52,744902.41 1041053.09,744901.98 1041053.3,744899.41 1041054.53,744898.97 1041054.74,744897.53 1041055.43,744897.25 1041056.68,744896.62 1041058.42,744898.69 1041063.17,744896.82 1041064.06,744896.3 1041064.1,744889.46 1041067.34,744890.66 1041069.89,744890.44 1041070.0,744888.46 1041070.97,744886.53 1041071.92,744886.29 1041072.04,744884.06 1041071.99,744862.56 1041052.72,744868.01 1041046.68,744869.75 1041044.75,744861.24 1041037.14,744859.52 1041039.09,744854.06 1041045.27,744849.68 1041041.38,744846.38 1041038.46,744836.74 1041029.91,744838.13 1041028.36,744841.34 1041024.78,744841.89 1041025.28,744842.57 1041024.5,744844.45 1041022.38,744836.05 1041015.11,744834.26 1041017.18,744833.78 1041017.74,744832.86 1041018.8,744826.07 1041012.7)))"
"MULTIPOLYGON (((744752.755 1041071.488,744735.247 1041054.985,744729.35 1041061.241,744729.945 1041061.792,744731.87 1041059.62,744734.22 1041056.97,744736.54 1041058.93,744732.146 1041063.866,744732.135 1041063.878,744746.857 1041077.745,744752.755 1041071.488)))"
"MULTIPOLYGON (((744646.09 1041168.68,744654.13 1041159.57,744651.54 1041157.29,744643.36 1041166.22,744643.48 1041166.32,744646.09 1041168.68)))"
"MULTIPOLYGON (((744699.068 1041131.335,744681.246 1041114.93,744674.587 1041122.164,744692.409 1041138.569,744699.068 1041131.335)))"
"MULTIPOLYGON (((745325.11 1040764.21,745326.03 1040766.43,745325.68 1040766.58,745326.16 1040767.76,745329.94 1040766.24,745330.91 1040765.85,745329.17 1040761.52,745328.14 1040761.93,745328.41 1040762.75,745328.334 1040762.784,745325.11 1040764.21)))"
"MULTIPOLYGON (((745330.16 1040761.11,745329.17 1040761.52,745330.91 1040765.85,745335.078 1040764.169,745335.1 1040764.16,745333.75 1040759.63,745333.713 1040759.645,745331.51 1040760.55,745330.16 1040761.11)))"
"MULTIPOLYGON (((745328.88 1040743.35,745328.805 1040743.383,745323.67 1040745.67,745326.42 1040752.04,745326.92 1040753.18,745327.62 1040754.81,745331.789 1040753.269,745331.84 1040753.25,745328.88 1040743.35)))"
"MULTIPOLYGON (((745362.61 1041425.12,745361.68 1041430.85,745364.38 1041431.32,745365.31 1041425.59,745362.61 1041425.12)))"
"MULTIPOLYGON (((744800.79 1041048.63,744798.54 1041046.63,744798.3 1041046.41,744769.59 1041020.78,744768.99 1041021.41,744768.43 1041020.9,744768.05 1041020.56,744766.1 1041018.79,744758.66 1041027.3,744760.56 1041029.0,744762.15 1041030.43,744761.35 1041031.42,744759.82 1041033.28,744759.18 1041033.96,744758.76 1041034.56,744758.23 1041035.68,744758.04 1041036.84,744758.1 1041037.94,744758.35 1041038.81,744758.89 1041039.74,744759.32 1041040.38,744760.2 1041041.13,744761.23 1041041.67,744762.22 1041041.91,744763.63 1041041.87,744764.79 1041041.48,744765.72 1041040.96,744766.48 1041040.16,744766.66 1041039.97,744766.81 1041039.81,744769.41 1041036.93,744772.39 1041039.61,744783.37 1041049.48,744781.51 1041051.52,744780.56 1041052.56,744780.41 1041052.73,744775.35 1041058.28,744779.26 1041061.76,744778.47 1041062.61,744787.27 1041070.41,744788.0 1041069.59,744791.78 1041072.94,744799.2 1041064.76,744799.45 1041064.48,744799.78 1041064.12,744811.43 1041074.58,744811.78 1041074.73,744813.74 1041076.55,744812.43 1041078.01,744811.15 1041079.54,744810.24 1041080.71,744809.85 1041081.48,744809.6 1041082.41,744809.54 1041083.03,744809.64 1041084.15,744809.95 1041085.05,744810.39 1041085.86,744810.69 1041086.13,744811.26 1041086.78,744812.11 1041087.36,744813.12 1041087.77,744814.37 1041087.91,744815.12 1041087.81,744815.99 1041087.58,744816.71 1041087.23,744817.41 1041086.59,744820.8 1041082.91,744821.34 1041083.39,744821.64 1041083.66,744822.37 1041084.31,744824.54 1041086.25,744832.17 1041077.82,744829.73 1041075.6,744829.07 1041074.99,744829.67 1041074.24,744800.99 1041048.81,744800.79 1041048.63)))"
"MULTIPOLYGON (((745441.31 1041438.79,745440.332 1041444.457,745440.33 1041444.47,745443.05 1041444.94,745443.052 1041444.931,745444.04 1041439.26,745441.31 1041438.79)))"
"MULTIPOLYGON (((745443.05 1041444.94,745445.75 1041445.4,745446.74 1041439.73,745444.04 1041439.26,745443.052 1041444.931,745443.05 1041444.94)))"
"MULTIPOLYGON (((745383.73 1041434.67,745384.67 1041428.95,745381.79 1041428.45,745380.85 1041434.17,745383.73 1041434.67)))"
"MULTIPOLYGON (((745378.96 1041427.96,745376.23 1041427.49,745375.29 1041433.21,745378.02 1041433.68,745378.96 1041427.96)))"
"MULTIPOLYGON (((745357.25 1041424.19,745354.21 1041423.66,745353.28 1041429.39,745356.32 1041429.92,745357.25 1041424.19)))"
"MULTIPOLYGON (((745359.89 1041424.64,745357.25 1041424.19,745356.32 1041429.92,745358.96 1041430.37,745359.89 1041424.64)))"
"MULTIPOLYGON (((745367.87 1041426.03,745365.31 1041425.59,745364.38 1041431.32,745366.94 1041431.76,745367.87 1041426.03)))"
"MULTIPOLYGON (((745156.14 1040642.57,745156.67 1040637.72,745156.93 1040635.43,745157.133 1040633.675,745157.38 1040631.55,745151.89 1040630.88,745150.31 1040644.81,745154.21 1040645.27,745155.83 1040645.45,745156.01 1040643.76,745156.14 1040642.57)))"
"MULTIPOLYGON (((744812.18 1040965.31,744804.75 1040973.77,744806.72 1040975.52,744814.22 1040967.13,744812.18 1040965.31)))"
"MULTIPOLYGON (((744749.14 1041186.18,744747.11 1041187.16,744746.88 1041187.27,744740.15 1041190.48,744747.57 1041205.56,744747.95 1041205.38,744762.72 1041198.35,744763.38 1041198.04,744756.0 1041182.91,744749.38 1041186.07,744749.14 1041186.18)))"
"MULTIPOLYGON (((744502.92 1041063.86,744502.94 1041064.36,744503.68 1041064.33,744503.66 1041063.84,744507.74 1041063.58,744507.75 1041064.02,744508.44 1041063.99,744508.45 1041063.55,744512.63 1041063.34,744512.61 1041064.03,744513.26 1041064.16,744513.32 1041061.93,744512.61 1041055.12,744488.05 1041056.36,744488.5 1041065.16,744489.21 1041065.13,744489.21 1041064.61,744493.29 1041064.45,744493.3 1041064.9,744493.95 1041064.88,744493.97 1041064.41,744498.16 1041064.14,744498.17 1041064.69,744498.95 1041064.64,744498.94 1041064.14,744502.92 1041063.86)))"
"MULTIPOLYGON (((744744.68 1041119.08,744741.88 1041116.6,744737.14 1041121.97,744742.59 1041126.67,744748.95 1041123.59,744749.3 1041123.19,744748.55 1041122.53,744758.62 1041111.04,744754.77 1041107.67,744753.15 1041109.5,744744.68 1041119.08)))"
"MULTIPOLYGON (((744963.19 1041231.04,744965.21 1041230.97,744965.4 1041234.16,744963.58 1041234.23,744963.82 1041237.92,744963.87 1041238.5,744979.28 1041237.69,744978.92 1041233.71,744978.02 1041219.19,744964.59 1041219.96,744964.65 1041220.73,744964.98 1041227.42,744962.96 1041227.52,744963.19 1041231.04)))"
"MULTIPOLYGON (((744423.53 1040633.68,744424.74 1040655.76,744440.77 1040654.83,744440.74 1040654.27,744440.54 1040650.89,744441.58 1040650.83,744441.25 1040644.73,744441.16 1040643.21,744440.82 1040636.84,744439.75 1040636.9,744439.53 1040632.76,744438.67 1040632.81,744423.53 1040633.68)))"
"MULTIPOLYGON (((744884.613 1041250.623,744884.557 1041249.302,744883.19 1041226.21,744879.03 1041226.33,744879.988 1041248.925,744880.177 1041250.772,744884.613 1041250.623)))"
"MULTIPOLYGON (((745024.33 1040861.65,745024.1 1040855.95,745020.82 1040856.2,745021.11 1040861.82,745024.33 1040861.65)))"
"MULTIPOLYGON (((744924.09 1041227.3,744920.43 1041227.51,744920.51 1041228.89,744920.79 1041233.56,744920.82 1041234.02,744924.45 1041233.85,744924.09 1041227.3)))"
"MULTIPOLYGON (((744931.44 1041233.53,744931.25 1041230.03,744931.07 1041226.92,744927.5 1041227.12,744927.87 1041233.69,744931.44 1041233.53)))"
"MULTIPOLYGON (((744938.18 1041237.91,744938.15 1041237.49,744937.94 1041234.17,744931.9 1041234.65,744932.2 1041237.97,744932.86 1041238.54,744933.64 1041238.5,744933.649 1041238.195,744938.18 1041237.91)))"
"MULTIPOLYGON (((744939.83 1041241.24,744933.78 1041241.59,744933.95 1041244.51,744935.36 1041245.31,744940.07 1041245.01,744939.83 1041241.24)))"
"MULTIPOLYGON (((744927.98 1041248.2,744927.99 1041249.03,744928.11 1041250.64,744931.48 1041250.45,744931.14 1041244.69,744928.06 1041244.88,744927.76 1041244.9,744927.98 1041248.2)))"
"MULTIPOLYGON (((744931.14 1041244.69,744931.48 1041250.45,744934.97 1041250.26,744934.9 1041249.05,744935.55 1041248.47,744935.36 1041245.31,744933.95 1041244.51,744931.14 1041244.69)))"
"MULTIPOLYGON (((744927.98 1041248.2,744927.76 1041244.9,744928.06 1041244.88,744927.92 1041243.15,744927.24 1041242.43,744923.39 1041242.62,744923.64 1041248.45,744927.34 1041248.2,744927.98 1041248.2)))"
"MULTIPOLYGON (((744938.18 1041237.91,744933.649 1041238.195,744933.64 1041238.5,744933.63 1041238.9,744933.78 1041241.59,744939.83 1041241.24,744939.53 1041237.4,744938.15 1041237.49,744938.18 1041237.91)))"
"MULTIPOLYGON (((744927.5 1041227.12,744924.09 1041227.3,744924.45 1041233.85,744927.87 1041233.69,744927.5 1041227.12)))"
"MULTIPOLYGON (((744865.39 1041257.51,744859.27 1041257.85,744860.01 1041270.76,744877.4 1041269.67,744877.88 1041269.64,744876.49 1041243.67,744864.72 1041244.48,744865.25 1041253.71,744865.34 1041255.18,744865.39 1041257.51)))"
"MULTIPOLYGON (((745066.18 1040983.18,745067.77 1040986.62,745066.45 1040987.09,745069.06 1040991.6,745071.76 1040996.59,745074.54 1041001.59,745077.63 1041000.16,745077.79 1041000.09,745082.25 1040998.03,745075.71 1040983.53,745076.84 1040982.98,745076.64 1040982.51,745075.65 1040979.94,745075.1 1040978.53,745073.62 1040979.1,745066.84 1040964.37,745062.51 1040966.36,745059.24 1040968.12,745060.66 1040971.99,745064.88 1040983.67,745066.18 1040983.18)))"
"MULTIPOLYGON (((745050.47 1040938.44,745044.04 1040942.4,745051.65 1040954.97,745059.91 1040949.99,745065.98 1040946.33,745059.67 1040935.83,745058.33 1040933.6,745050.47 1040938.44)))"
"MULTIPOLYGON (((745071.47 1040924.59,745064.7 1040929.73,745065.968 1040931.425,745073.44 1040941.41,745080.42 1040936.28,745081.89 1040935.2,745081.94 1040935.16,745083.56 1040933.88,745087.02 1040931.14,745078.03 1040919.57,745075.83 1040921.28,745074.82 1040922.06,745072.22 1040924.08,745071.47 1040924.59)))"
"MULTIPOLYGON (((745263.51 1040936.0,745271.43 1040933.13,745275.16 1040931.78,745273.98 1040928.1,745274.52 1040927.93,745274.44 1040927.68,745273.89 1040927.8,745273.59 1040926.44,745271.8 1040926.92,745270.81 1040923.73,745260.54 1040926.88,745262.04 1040931.6,745260.91 1040932.0,745261.65 1040934.35,745262.75 1040933.94,745263.51 1040936.0)))"
"MULTIPOLYGON (((744976.57 1040693.1,744975.04 1040694.81,744977.01 1040696.53,744978.55 1040694.86,744976.57 1040693.1)))"
"MULTIPOLYGON (((745302.36 1041021.97,745291.52 1041018.48,745288.13 1041028.78,745294.07 1041030.69,745293.98 1041031.37,745306.46 1041035.31,745306.79 1041034.75,745312.57 1041036.68,745315.9 1041026.33,745304.57 1041022.68,745302.36 1041021.97)))"
"MULTIPOLYGON (((744864.54 1040606.85,744848.87 1040624.44,744868.29 1040641.67,744876.24 1040632.75,744866.1 1040623.71,744873.38 1040615.43,744873.63 1040615.15,744873.47 1040615.0,744864.54 1040606.85)))"
"MULTIPOLYGON (((744704.25 1040619.61,744703.19 1040610.1,744703.54 1040610.06,744703.3 1040607.64,744702.93 1040607.7,744702.24 1040601.49,744692.49 1040602.64,744694.48 1040620.67,744697.55 1040620.34,744704.25 1040619.61)))"
"MULTIPOLYGON (((744416.92 1041447.71,744417.34 1041455.13,744418.96 1041455.17,744418.99 1041456.24,744419.01 1041457.0,744435.1 1041456.04,744434.46 1041444.48,744435.62 1041442.98,744435.54 1041442.91,744434.34 1041441.82,744433.03 1041440.64,744431.82 1041439.56,744429.47 1041437.44,744428.2 1041436.3,744426.86 1041435.09,744425.65 1041434.0,744425.12 1041434.48,744424.74 1041434.14,744424.14 1041433.6,744422.89 1041432.48,744421.7 1041431.42,744420.46 1041430.3,744419.79 1041429.71,744412.67 1041437.84,744408.99 1041442.04,744409.6 1041442.49,744408.6 1041443.54,744408.77 1041443.7,744412.64 1041447.2,744412.78 1041447.32,744413.54 1041446.54,744415.7 1041448.39,744416.31 1041448.39,744416.92 1041447.71)))"
"MULTIPOLYGON (((744574.05 1041064.92,744583.74 1041073.46,744584.6 1041074.36,744586.09 1041075.93,744597.43 1041085.98,744607.38 1041074.76,744594.71 1041063.63,744594.43 1041063.87,744593.77 1041063.29,744593.11 1041062.71,744583.56 1041054.32,744583.18 1041053.99,744578.2 1041049.67,744574.8 1041046.72,744574.41 1041046.38,744573.2 1041045.33,744570.92 1041043.32,744567.22 1041040.06,744566.87 1041039.75,744563.22 1041036.53,744560.26 1041033.92,744555.87 1041030.05,744551.78 1041026.45,744551.03 1041027.27,744543.32 1041035.74,744542.1 1041037.07,744553.83 1041047.3,744557.36 1041050.37,744557.77 1041050.73,744561.33 1041053.84,744564.86 1041056.91,744565.31 1041057.3,744568.28 1041059.89,744568.64 1041060.2,744574.05 1041064.92)))"
"MULTIPOLYGON (((745356.36 1041012.39,745379.8 1041017.25,745380.38 1041017.38,745381.09 1041013.73,745357.25 1041008.77,745356.36 1041012.39)))"
"MULTIPOLYGON (((744768.08 1041260.67,744768.11 1041262.18,744767.25 1041262.23,744767.15 1041260.98,744756.57 1041261.61,744756.4 1041261.62,744757.29 1041276.92,744767.94 1041276.3,744768.23 1041276.28,744770.66 1041276.14,744770.76 1041276.13,744781.5 1041275.5,744780.62 1041260.18,744780.22 1041260.2,744769.62 1041260.87,744769.62 1041260.64,744768.08 1041260.67)))"
"MULTIPOLYGON (((744729.77 1041461.52,744717.65 1041462.32,744718.44 1041473.41,744736.78 1041472.25,744736.21 1041461.16,744729.77 1041461.52)))"
"MULTIPOLYGON (((744529.23 1041421.19,744529.99 1041421.95,744528.48 1041423.64,744528.23 1041424.17,744528.17 1041424.69,744528.25 1041425.38,744528.35 1041425.55,744528.67 1041426.07,744529.4 1041426.61,744529.63 1041426.66,744530.09 1041426.76,744530.85 1041426.67,744531.64 1041426.03,744532.98 1041424.58,744533.77 1041425.32,744532.18 1041427.13,744537.25 1041431.37,744545.22 1041422.51,744540.01 1041417.87,744537.91 1041415.98,744535.99 1041414.29,744530.65 1041409.54,744522.58 1041418.49,744527.71 1041422.94,744529.23 1041421.19)))"
"MULTIPOLYGON (((744797.75 1041083.05,744802.96 1041087.04,744805.42 1041084.31,744808.31 1041081.11,744802.93 1041076.9,744797.75 1041083.05)))"
"MULTIPOLYGON (((745190.6 1041024.91,745191.1 1041024.76,745190.86 1041024.05,745193.28 1041023.06,745191.06 1041017.0,745188.2 1041018.16,745188.46 1041018.95,745190.6 1041024.91)))"
"MULTIPOLYGON (((744875.3 1041223.64,744875.27 1041223.03,744875.07 1041219.69,744875.04 1041219.21,744861.37 1041219.98,744861.41 1041220.5,744861.45 1041220.96,744861.49 1041224.2,744861.5 1041224.71,744875.3 1041223.64)))"
"MULTIPOLYGON (((744611.87 1040623.5,744596.39 1040625.12,744587.9 1040626.01,744586.51 1040626.16,744586.56 1040627.18,744587.73 1040637.76,744588.3 1040642.88,744625.51 1040638.54,744627.71 1040638.28,744628.77 1040637.88,744627.01 1040621.46,744623.0 1040622.15,744622.94 1040621.25,744611.85 1040622.57,744611.87 1040623.5)))"
"MULTIPOLYGON (((744382.67 1041429.41,744383.18 1041429.86,744386.65 1041425.94,744385.86 1041425.18,744387.38 1041423.43,744381.38 1041418.33,744375.37 1041413.1,744370.49 1041418.71,744368.86 1041420.59,744364.24 1041425.9,744376.07 1041436.14,744377.73 1041434.24,744378.58 1041434.97,744381.77 1041431.39,744381.28 1041430.95,744382.67 1041429.41)))"
"MULTIPOLYGON (((744900.47 1040670.32,744901.33 1040669.35,744901.5 1040669.16,744902.27 1040668.3,744902.43 1040668.12,744903.98 1040666.38,744904.21 1040666.12,744904.89 1040665.35,744905.09 1040665.14,744906.14 1040663.95,744907.77 1040662.12,744909.04 1040660.69,744909.23 1040660.48,744909.94 1040659.69,744910.14 1040659.45,744911.59 1040657.83,744911.8 1040657.59,744912.44 1040656.88,744912.68 1040656.61,744914.25 1040654.84,744914.43 1040654.64,744915.07 1040653.92,744915.32 1040653.64,744916.04 1040652.83,744907.02 1040644.8,744906.74 1040645.12,744899.34 1040653.39,744898.6 1040652.73,744897.76 1040651.97,744890.41 1040645.37,744882.46 1040654.27,744882.75 1040654.53,744882.93 1040654.69,744892.86 1040663.54,744893.11 1040663.76,744900.47 1040670.32)))"
"MULTIPOLYGON (((744446.63 1040707.53,744445.35 1040707.6,744445.32 1040706.03,744445.29 1040704.48,744444.91 1040704.47,744444.87 1040703.77,744444.64 1040699.83,744444.58 1040698.77,744427.31 1040699.69,744427.51 1040703.24,744428.73 1040724.61,744447.14 1040723.55,744450.63 1040723.35,744449.7 1040707.35,744446.63 1040707.53)))"
"MULTIPOLYGON (((744927.63 1040639.77,744939.27 1040626.7,744929.34 1040617.87,744928.68 1040617.28,744928.51 1040617.48,744927.06 1040619.19,744925.54 1040617.88,744915.88 1040628.8,744915.64 1040629.06,744916.52 1040629.85,744916.96 1040630.24,744927.63 1040639.77)))"
"MULTIPOLYGON (((745208.45 1041138.98,745211.43 1041129.43,745205.24 1041127.49,745202.57 1041126.65,745196.11 1041124.7,745193.03 1041134.35,745208.45 1041138.98)))"
"MULTIPOLYGON (((744846.38 1041038.46,744849.68 1041041.38,744851.23 1041039.62,744847.94 1041036.7,744846.38 1041038.46)))"
"MULTIPOLYGON (((744713.17 1041473.65,744718.44 1041473.41,744717.65 1041462.32,744709.72 1041462.84,744707.85 1041462.96,744699.46 1041463.51,744700.07 1041474.55,744705.59 1041474.17,744713.17 1041473.65)))"
"MULTIPOLYGON (((744715.39 1041092.95,744727.33 1041103.56,744728.07 1041102.68,744724.34 1041099.34,744724.15 1041099.16,744720.28 1041095.7,744720.04 1041095.49,744716.2 1041092.04,744715.39 1041092.95)))"
